id,bloco,descricao,valor_no_artigo,fonte_arquivo,fonte_localizador,valor_bruto_na_fonte,transformacao,trecho_esperado_no_tex,ocorrencias_no_tex,status
A4_TAB_CONFIRMACAO_dif,Tabela A1 (gradiente territorial descritivo),"Tabela A1 (gradiente territorial descritivo): celula 'dif' da linha {'termo': 'estrato_metropolitano', 'outcome_estagio': 'alguma_confirmacao'}","27,0",output/tema_trabalho/A4_tabela_02c_confirmacao_homologacao.csv,linha 20; coluna coef,0.2702016383697743,"proporcao x100, 1 casa","Apenas confirmação & 27,0 & 5,7 \\",1,OK
A4_TAB_CONFIRMACAO_ep,Tabela A1 (gradiente territorial descritivo),"Tabela A1 (gradiente territorial descritivo): celula 'ep' da linha {'termo': 'estrato_metropolitano', 'outcome_estagio': 'alguma_confirmacao'}","5,7",output/tema_trabalho/A4_tabela_02c_confirmacao_homologacao.csv,linha 20; coluna se_cluster,0.0574748408182991,"proporcao x100, 1 casa","Apenas confirmação & 27,0 & 5,7 \\",1,OK
A4_TAB_FULL_dif,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'dif' da linha {'termo': 'estrato_metropolitano'},"20,9",output/tema_trabalho/A4_tabela_03b_ajuste_completo.csv,linha 21; coluna coef,0.2085285439175969,"proporcao x100, 1 casa","Ajuste completo & 20,9 & 7,8 \\",1,OK
A4_TAB_FULL_ep,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'ep' da linha {'termo': 'estrato_metropolitano'},"7,8",output/tema_trabalho/A4_tabela_03b_ajuste_completo.csv,linha 21; coluna se_cluster,0.0783762601125027,"proporcao x100, 1 casa","Ajuste completo & 20,9 & 7,8 \\",1,OK
A4_TAB_HOMOLOGACAO_dif,Tabela A1 (gradiente territorial descritivo),"Tabela A1 (gradiente territorial descritivo): celula 'dif' da linha {'termo': 'estrato_metropolitano', 'outcome_estagio': 'alguma_homologacao'}","23,8",output/tema_trabalho/A4_tabela_02c_confirmacao_homologacao.csv,linha 62; coluna coef,0.2381135523812536,"proporcao x100, 1 casa","Apenas homologação & 23,8 & 4,8 \\",1,OK
A4_TAB_HOMOLOGACAO_ep,Tabela A1 (gradiente territorial descritivo),"Tabela A1 (gradiente territorial descritivo): celula 'ep' da linha {'termo': 'estrato_metropolitano', 'outcome_estagio': 'alguma_homologacao'}","4,8",output/tema_trabalho/A4_tabela_02c_confirmacao_homologacao.csv,linha 62; coluna se_cluster,0.0480226534766989,"proporcao x100, 1 casa","Apenas homologação & 23,8 & 4,8 \\",1,OK
A4_TAB_LOGIT_dif,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'dif' da linha {'termo': 'estrato_metropolitano'},"27,8",output/tema_trabalho/A4_tabela_02b_logit_AME.csv,linha 19; coluna ame,0.2784158060001861,"proporcao x100, 1 casa","Logit, efeito marginal médio & 27,8 & 6,2 \\",1,OK
A4_TAB_LOGIT_ep,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'ep' da linha {'termo': 'estrato_metropolitano'},"6,2",output/tema_trabalho/A4_tabela_02b_logit_AME.csv,linha 19; coluna se_ame,0.0619558371085328,"proporcao x100, 1 casa","Logit, efeito marginal médio & 27,8 & 6,2 \\",1,OK
A4_TAB_LPM_dif,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'dif' da linha {'termo': 'estrato_metropolitano'},"27,9",output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna coef,0.2792856656562696,"proporcao x100, 1 casa","Modelo linear pré-especificado & 27,9 & 5,9 \\",1,OK
A4_TAB_LPM_ep,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'ep' da linha {'termo': 'estrato_metropolitano'},"5,9",output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna se_cluster,0.0585504120958684,"proporcao x100, 1 casa","Modelo linear pré-especificado & 27,9 & 5,9 \\",1,OK
A4_TAB_MUNCURSO_dif,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'dif' da linha {'termo': 'estrato_metropolitano'},"31,6",output/tema_trabalho/A4_tabela_02d_municipio_curso.csv,linha 20; coluna coef,0.3155423406518425,"proporcao x100, 1 casa","Unidade município--curso & 31,6 & 5,8 \\",1,OK
A4_TAB_MUNCURSO_ep,Tabela A1 (gradiente territorial descritivo),Tabela A1 (gradiente territorial descritivo): celula 'ep' da linha {'termo': 'estrato_metropolitano'},"5,8",output/tema_trabalho/A4_tabela_02d_municipio_curso.csv,linha 20; coluna se_cluster,0.0584152645637367,"proporcao x100, 1 casa","Unidade município--curso & 31,6 & 5,8 \\",1,OK
A4_TXT_BENCHMARK,Apendice A,Benchmark global de precisao,"3,8",output/tema_trabalho/A4_estimativas_atracao.json,campo potencia_referencia/benchmark_global_proporcao_p30,0.0379,"proporcao x100, 1 casa","o benchmark global de 3,8 pontos percentuais mede a",1,OK
A4_TXT_CAPITAL,Apendice A,Contraste capital x interior remoto,"32,6",output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 18; coluna coef,0.3264038045413463,"proporcao x100, 1 casa","diferenças positivas em relação ao interior remoto, de 32,6 e 12,1 pontos percentuais",1,OK
A4_TXT_FULL_COEF,Apendice A,Contraste metropolitano no ajuste completo,"20,9",output/tema_trabalho/A4_tabela_03b_ajuste_completo.csv,linha 21; coluna coef,0.2085285439175969,"proporcao x100, 1 casa","o contraste metropolitano permanece em 20,9 pontos percentuais, com $p$ de 0,008 e valor $q$ de 0,023 após correção FDR entre estratos",1,OK
A4_TXT_FULL_P,Apendice A,p-valor do contraste metropolitano ajustado,"0,008",output/tema_trabalho/A4_tabela_03b_ajuste_completo.csv,linha 21; coluna p_valor,0.0077999591863019,3 casas,"o contraste metropolitano permanece em 20,9 pontos percentuais, com $p$ de 0,008 e valor $q$ de 0,023 após correção FDR entre estratos",1,OK
A4_TXT_FULL_Q,Apendice A,q FDR do contraste metropolitano ajustado,"0,023",output/tema_trabalho/A4_tabela_03b_ajuste_completo.csv,linha 21; coluna q_fdr_estrato,0.0233998775589058,3 casas,"o contraste metropolitano permanece em 20,9 pontos percentuais, com $p$ de 0,008 e valor $q$ de 0,023 após correção FDR entre estratos",1,OK
