id,categoria,subtema,autores,ano,titulo,periodico,volume_edicao,doi,paginas,paginas_foco,tipo_artigo,mecanismo_teorico,implicacao_pmme,roteiro_leitura
TEO_01,Teorica / Teoria + Empiria,Equilíbrio Espacial Hedônico e Diferencial Compensatório por IVS,"Roback, Jennifer",1982,"Wages, Rents, and the Quality of Life: A General Equilibrium Model of Geographic Differences",Journal of Political Economy,"Vol. 90, No. 6, pp. 1257–1278",10.1086/261120,22,pp. 1257–1272 (Seções 1 a 3: 15 páginas),Modelo Teórico Canônico de Equilíbrio Geral Espacial,"Determina a alocação espacial de trabalhadores sob livre mobilidade. Municípios com desamenidades severas, isolamento geográfico e alta vulnerabilidade socioeconômica (alto IVS) exigem um diferencial salarial compensatório (\Delta w) para equalizar a utilidade indireta à utilidade de reserva.",Base teórica seminal que justifica o escalonamento das bolsas do PMM-E: a bolsa federal opera como choque exógeno de diferencial compensatório necessário para viabilizar a atração de especialistas para o interior vulnerável.,Focar no modelo das Seções I e II. Extrair a condição de diferenciação parcial dw/dA < 0 e conectar o vetor de desamenidades A_m ao IVS 2010 do IPEA.
TEO_02,Teorica / Teoria + Empiria,"Preferências Médicas, Willingness to Accept (WTA) e Elasticidade da Bolsa","Sivey, Peter; Scott, Anthony; Witt, Julia; Joyce, Catherine; Humphreys, John",2012,Junior Doctors' Preferences for Specialty Choice,Journal of Health Economics,"Vol. 31, No. 6, pp. 813–826",10.1016/j.jhealeco.2012.07.001,14,Artigo completo (14 páginas - super conciso),Random Utility Theory + Discrete Choice Experiment (DCE),"Modela a função de utilidade de médicos em início de carreira através de modelos de utilidade aleatória (RUM), estimando o Willingness to Accept (WTA) monetário exigido para aceitar postos em áreas remotas e regimes de alta carga horária.",Parametriza a elasticidade da oferta de especialistas frente a adicionais de bolsa no interior e demonstra por que especialidades cirúrgicas exigem incentivos monetários até 40% maiores do que especialidades clínicas.,Focar na Tabela 3 (Parâmetros estimados de WTA) e na discussão sobre trade-offs entre remuneração monetária direta e isolamento do município.
TEO_03,Teorica / Teoria + Empiria,Matching Estrutural sob Subsídios Financeiros e Fricções de Localização,"Agarwal, Nikhil",2015,An Empirical Model of the Medical Match,American Economic Review,"Vol. 105, No. 7, pp. 1939–1978",10.1257/aer.20130663,40,pp. 1940–1958 (Seções I a III: 18 páginas),Design de Mercados + Estimação Estrutural de Preferências,Estrutura um modelo de matching biunívoco com restrições salariais e fricções de busca espacial. Demonstra como transferências e subsídios financeiros deslocam os candidatos em direção a hospitais periféricos e menos prestigiados.,Modela o papel do edital centralizado do Ministério da Saúde na quebra de assimetrias informacionais entre especialistas recém-formados e hospitais municipais do interior.,Focar na Seção II (Theoretical Framework). Analisar como subsídios financeiros compensam desvantagens institucionais na ordenação de preferências dos candidatos.
TEO_04,Teorica / Teoria + Empiria,Worker Flows Teóricos: Impacto Diferencial de Bônus em Entradas vs Saídas,"Gravelle, Hugh; Scott, Anthony; Yong, Jongsay; McGrail, Matthew",2018,Do Rural Incentives Payments Affect Entries and Exits of General Practitioners?,Social Science & Medicine,"Vol. 216, pp. 88–96",10.1016/j.socscimed.2018.09.041,9,Artigo completo (9 páginas - leitura cirúrgica),Modelos de Contagem em Painel com Efeitos Fixos + Microfundamentação,"Desenvolve modelo microeconômico de fluxos brutos de trabalho (worker flows). Prova que pagamentos de incentivos financeiros aumentam substancialmente as novas entradas (+15% a +25%), mas exercem impacto modesto ou nulo sobre a redução de saídas após 2 a 3 anos.","Base teórica e empírica central para a nossa decomposição entre atração (n_entradas) e retenção (n_saidas, saldo_liquido), evitando a hipótese ingênua de que a bolsa garante fixação permanente.","Ler integralmente. Analisar a Tabela 2 e Tabela 3, comparando a elasticidade de novas entradas vs a elasticidade de permanência médica no interior."
TEO_05,Teorica / Teoria + Empiria,"Federalismo Fiscal, Otimização Municipal e Crowding-Out de Médicos Próprios","Baicker, Katherine; Staiger, Douglas",2005,"Fiscal Shenanigans, Targeted Federal Health Care Funds, and Patient Mortality",Quarterly Journal of Economics,"Vol. 120, No. 1, pp. 345–386",10.1162/0033553053317416,42,"pp. 348–360 (Seção II: Teoria, 12 páginas)",Modelo Teórico de Federalismo Fiscal + Quase-Experimento em Saúde,Modela o comportamento de governos locais que recebem transferências federais vinculadas à saúde. Demonstra as condições em que o município usa o recurso federal para substituir gastos com pessoal próprio (crowding-out fiscal).,Fornece a microfundamentação direta para testar se as bolsas do PMM-E atraíram médicos adicionais líquidos para o interior ou apenas subsidiaram prefeituras que demitiram médicos contratados.,Focar na Seção II. Sintetizar a proposição teórica que deduz a derivada do gasto local próprio em relação ao repasse federal da bolsa.
TEO_06,Teorica / Teoria + Empiria,Complementaridade entre Especialistas e Infraestrutura Hospitalar no Interior,"Acemoglu, Daron; Finkelstein, Amy",2008,Input and Technology Choices in Regulated Industries: Evidence from the Health Care Sector,Journal of Political Economy,"Vol. 116, No. 5, pp. 837–880",10.1086/595015,44,pp. 839–858 (Seções I a III: 20 páginas),Teoria Microeconômica + Quase-Experimento Hospitalar,"Modela a escolha ótima de fatores de produção em hospitais sob preços regulados. A produtividade do trabalho médico especializado (L) é estritamente condicionada à presença de capital físico tecnológico complementar (K: leitos cirúrgicos, aparelhos de imagem).","Explica por que o médico especialista não se fixa no interior vulnerável se não houver hospital e equipamentos adequados, justificando a interação entre valor da bolsa e capacidade física instalada.",Focar na Seção II (The Basic Model of Factor Choice). Deduzir a condição de complementaridade marginal d²Y/(dL dK) > 0.
TEO_07,Teorica / Teoria + Empiria,Políticas Públicas Regionais (Place-Based) e Equilíbrio de Bem-Estar no Interior,"Kline, Patrick; Moretti, Enrico",2014,"People, Places, and Public Policy: Some Simple Analytics of Local Economic Development Programs",Annual Review of Economics,"Vol. 6, No. 1, pp. 629–662",10.1146/annurev-economics-080213-040845,34,pp. 631–648 (Seções 1 a 3: 17 páginas),Framework Analítico Teórico de Políticas Baseadas no Lugar,"Desenvolve um framework analítico de equilíbrio espacial para avaliar subsídios à atração de fatores para regiões desassistidas, comparando ganhos de eficiência local contra distorções de realocação espacial e spillovers em polos vizinhos.","Permite enquadrar o PMM-E como política place-based de saúde, formalizando a função de bem-estar social que justifica concentrar bolsas maiores nos municípios com alto IVS.",Focar nas Seções 1 a 3. Extrair a equação de bem-estar agregado W e avaliar as condições de ausência de spillovers negativos severos.
EMP_01,Empirica,Modelagem de Sobrevivência (Cox) e Fixação Médica no Interior,"Russell, Deborah J.; McGrail, Matthew R.; Humphreys, John S.",2021,Determinants of Rural Australian General Practitioner Retention: A Longitudinal Analysis,Human Resources for Health,"Vol. 19, Artigo 7",10.1186/s12960-020-00549-3,10,Artigo completo (10 páginas),Análise de Sobrevida Longitudinal (Kaplan-Meier + Modelo de Cox),"Estima os determinantes longitudinais do tempo até a evasão médica (tenure) em cidades do interior. Mostra que isolamento geográfico severo quase dobra o risco de saída (HR=1.85), enquanto suporte de hospital terciário reduz a evasão (HR=0.62).","Referência empírica direta para modelar curvas de sobrevida de especialistas no município em função do valor da bolsa, do IVS e da presença de infraestrutura hospitalar.",Focar nos Hazard Ratios da Tabela 2 e nas curvas de Kaplan-Meier por nível de isolamento municipal.
EMP_02,Empirica,Acompanhamento Longitudinal de Coortes: Retenção sob Bolsa vs Pós-Obrigação,"Pathman, Donald E.; Konrad, Thomas R.; King, Tonya S.; Taylor, Donald H.; Koch, Gary G.",2004,"Outcomes of States' Scholarship, Loan Repayment, and Related Programs for Physicians",Medical Care,"Vol. 42, No. 6, pp. 560–568",10.1097/01.mlr.0000128004.26577.8b,9,Artigo completo (9 páginas),Estudo de Coorte Longitudinal de Retenção Médica,"Acompanha coortes de médicos participantes de programas estaduais de bolsa e amortização de dívidas em áreas desassistidas nos EUA. Constata que a retenção é superior a 80% durante a bolsa, mas cai para menos de 50% após o fim do compromisso formal.","Fundamenta por que o PMM-E deve auditar separadamente a retenção de curto prazo (6 meses, bolsa ativa) da retenção duradoura (12+ meses), isolando 'médicos transitórios'.",Focar na Tabela 3 (Retention Rates over time) e na discussão dos fatores que diferenciam fixação de longo prazo de permanência compulsória temporária.
EMP_03,Empirica,Revisão Sistemática Global de Incentivos Financeiros e Return-of-Service,"Bärnighausen, Till; Bloom, David E.",2009,Financial Incentives for Return of Service in Underserved Areas: A Systematic Review,BMC Health Services Research,"Vol. 9, Artigo 86",10.1186/1472-6963-9-86,17,Artigo completo (17 páginas),Revisão Sistemática Global de 43 Programas Internacionais,"Reúne e categoriza evidências de 43 programas em 10 países que usaram incentivos financeiros e bolsas condicionadas a serviço no interior. Sintetiza taxas de adesão, evasão, cumprimento contratual e custo-efetividade.",Fornece a métrica internacional de benchmark para avaliar a atratividade do valor da bolsa e as taxas de abandono observadas no PMM-E frente à experiência global.,Focar na Tabela 1 (Taxonomia comparativa) e na Seção de Discussão sobre custo por ano de médico fixado.
