id,bloco,descricao,valor_no_artigo,fonte_arquivo,fonte_localizador,valor_bruto_na_fonte,transformacao,trecho_esperado_no_tex,ocorrencias_no_tex,status,origem_registro
CURTO_A4_MDE_ANTE,Secao 3,MDE ex-ante metropolitano,"13,7",output/tema_trabalho/A4_tabela_09_mde_ex_ante_ex_post.csv,linha 3; coluna mde_ex_ante_A3_p80_p30,0.1374,"proporcao x100, 1 casa","era de 13,7 pontos percentuais; o ex-post, calculado do erro-padrão realizado, é de 16,4 pontos percentuais",1,OK,artigo_curto
CURTO_A4_MDE_POST,Secao 3,MDE ex-post metropolitano,"16,4",output/tema_trabalho/A4_tabela_09_mde_ex_ante_ex_post.csv,linha 3; coluna mde_ex_post_p80,0.1640339690422077,"proporcao x100, 1 casa","era de 13,7 pontos percentuais; o ex-post, calculado do erro-padrão realizado, é de 16,4 pontos percentuais",1,OK,artigo_curto
CURTO_A4_WILD_B,Secao 3,replicacoes do bootstrap,1.999,output/tema_trabalho/A4_tabela_08_wild_cluster_bootstrap.csv,linha 3; coluna b_replicacoes,1999,inteiro com ponto de milhar,por município e 1.999 replicações,1,OK,artigo_curto
CURTO_A4_WILD_capital,Secao 3,p wild cluster capital,"0,0015",output/tema_trabalho/A4_tabela_08_wild_cluster_bootstrap.csv,linha 2; coluna p_wild_cluster,0.0015,"p bootstrap, 4 casas","os valores $p$ são 0,0005 para metropolitano, 0,0015 para capital e 0,0115 para interior próximo",1,OK,artigo_curto
CURTO_A4_WILD_interior_próximo,Secao 3,p wild cluster interior próximo,"0,0115",output/tema_trabalho/A4_tabela_08_wild_cluster_bootstrap.csv,linha 4; coluna p_wild_cluster,0.0115,"p bootstrap, 4 casas","os valores $p$ são 0,0005 para metropolitano, 0,0015 para capital e 0,0115 para interior próximo",1,OK,artigo_curto
CURTO_A4_WILD_metropolitano,Secao 3,p wild cluster metropolitano,"0,0005",output/tema_trabalho/A4_tabela_08_wild_cluster_bootstrap.csv,linha 3; coluna p_wild_cluster,0.0005,"p bootstrap, 4 casas","os valores $p$ são 0,0005 para metropolitano, 0,0015 para capital e 0,0115 para interior próximo",1,OK,artigo_curto
CURTO_A5_Q_NIVEL,Secao 4,q FDR nivel,"0,364",output/tema_trabalho/A5_estimativas_provimento.json,campo multiplicidade/mar2026_q_fdr_bh_gl_fe_nivel_confirmatoria,0.36382840217755313,3 casas,"seu valor $q$ é 0,364",1,OK,artigo_curto
CURTO_A5_Q_PROP,Secao 4,q FDR proporcional,"0,0034",output/tema_trabalho/A5_estimativas_provimento.json,campo multiplicidade/mar2026_q_fdr_bh_gl_fe_proporcional_confirmatoria,0.0034084370881983877,4 casas,"valor $q$ de Benjamini--Hochberg desse coeficiente é 0,0034",1,OK,artigo_curto
CURTO_A5_TAB_NIVEL_beta,Tabela 4 (CNES),beta nivel,"0,50",output/tema_trabalho/A5_tabela_07_estudo_evento_atracao.csv,linha 23; coluna beta,0.5001997255486577,2 casas,"Atração da célula (sensibilidade) & nível & 0,50 & 0,23 & 0,033 \\",1,OK,artigo_curto
CURTO_A5_TAB_NIVEL_p,Tabela 4 (CNES),p nivel,"0,033",output/tema_trabalho/A5_tabela_07_estudo_evento_atracao.csv,linha 23; coluna p_valor,0.0333827608956619,3 casas,"Atração da célula (sensibilidade) & nível & 0,50 & 0,23 & 0,033 \\",1,OK,artigo_curto
CURTO_A5_TAB_NIVEL_se,Tabela 4 (CNES),EP nivel,"0,23",output/tema_trabalho/A5_tabela_07_estudo_evento_atracao.csv,linha 23; coluna se_cluster,0.2340124350208941,2 casas,"Atração da célula (sensibilidade) & nível & 0,50 & 0,23 & 0,033 \\",1,OK,artigo_curto
CURTO_A5_TAB_PROP_beta,Tabela 4 (CNES),beta proporcional,"0,068",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/mar2026_beta,0.06840172350321641,3 casas,"Atração da célula (primário) & proporcional & 0,068 & 0,018 & $<$0,001 \\",1,OK,artigo_curto
CURTO_A5_TAB_PROP_p,Tabela 4 (CNES),p proporcional,"$<$0,001",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/mar2026_p,0.0001959861319669171,"p < 0,001","Atração da célula (primário) & proporcional & 0,068 & 0,018 & $<$0,001 \\",1,OK,artigo_curto
CURTO_A5_TAB_PROP_se,Tabela 4 (CNES),EP proporcional,"0,018",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/mar2026_se,0.018135229463974247,3 casas,"Atração da célula (primário) & proporcional & 0,068 & 0,018 & $<$0,001 \\",1,OK,artigo_curto
CURTO_A8_CH2_EXATO_HI,Secao 2.3,intervalo exato CH2: HI,"83,3",output/tema_trabalho/A8_tabela_06_intervalos_exatos.csv,linha 6; coluna ic95_exato_superior,0.8333333333333334,"proporcao x100, 1 casa","de $-$3,6 a 83,3 pontos percentuais, cobre o zero e é coerente com o $p$ exato de 0,0625",1,OK,artigo_curto
CURTO_A8_CH2_EXATO_LO,Secao 2.3,intervalo exato CH2: LO,"$-$3,6",output/tema_trabalho/A8_tabela_06_intervalos_exatos.csv,linha 6; coluna ic95_exato_inferior,-0.0363729168416358,"proporcao x100, 1 casa","de $-$3,6 a 83,3 pontos percentuais, cobre o zero e é coerente com o $p$ exato de 0,0625",1,OK,artigo_curto
CURTO_A8_CH2_EXATO_P,Secao 2.3,intervalo exato CH2: P,"0,0625",output/tema_trabalho/A8_tabela_06_intervalos_exatos.csv,linha 6; coluna p_exato_pareado_bicaudal,0.0625,"p exato, 4 casas","de $-$3,6 a 83,3 pontos percentuais, cobre o zero e é coerente com o $p$ exato de 0,0625",1,OK,artigo_curto
CURTO_C7_CURSOS_REJ,Secao 4,"cursos com pre-p<0,05",2 e 16,output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/cursos_pre_p_lt_0_05_proporcional,"[2, 16]",lista,rejeita a 5\% nos cursos 2 e 16 na escala proporcional,1,OK,artigo_curto
CURTO_C7_EXCL_beta,Secao 4,beta excluindo cursos rejeitados,"0,081",output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/sensibilidade_excluindo_cursos_rejeitados/proporcional/mar2026_beta,0.0809757367081551,3 casas,"é 0,081, com $p$ de 0,0007, sobre 488 células",1,OK,artigo_curto
CURTO_C7_EXCL_n,Secao 4,celulas excluindo cursos rejeitados,488,output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/sensibilidade_excluindo_cursos_rejeitados/proporcional/n_unidades,488,inteiro,"é 0,081, com $p$ de 0,0007, sobre 488 células",1,OK,artigo_curto
CURTO_C7_EXCL_p,Secao 4,p excluindo cursos rejeitados,"0,0007",output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/sensibilidade_excluindo_cursos_rejeitados/proporcional/mar2026_p_gl_fe,0.0007113914340058309,4 casas,"é 0,081, com $p$ de 0,0007, sobre 488 células",1,OK,artigo_curto
CURTO_C7_N_CTRL,Tabela 4 (nota),contagem CTRL,174,output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/nivel/n_controle,174,inteiro,"são as 372 células sem atração; no placebo, 198 estão em municípios com atração em alguma célula e 174 em municípios sem nenhuma; no transbordo, 70 têm",1,OK,artigo_curto
